,"Índice de producción industrial, INE (base 2009=100)","Índice de producción industrial, INE (base 2014=100)",Índice de producción industrial SOFOFA (base 2000=100),Índice de producción industrial SOFOFA (base 2000=100),Índice de producción industrial SOFOFA (base 2000=100),Índice de producción industrial SOFOFA (base 2000=100),"Índice producción industrial, SOFOFA (2003=100)","Índice producción industrial, SOFOFA (2014=100)",Índice de ventas industriales SOFOFA (base 2014=100),Índice de ventas industriales SOFOFA (base 2003=100),Índice de ventas industriales SOFOFA (base 2000=100),MA
2003-01-12,,,109.1,109.1,109.1,109.1,102.965247440596,,,108.975709478989,119.9,
2004-01-01,,,107.4,107.4,107.4,107.4,101.003502758713,,,99.9226188811199,109.3,
2004-01-02,,,107.7,107.7,107.7,107.7,101.762462394997,,,98.2012570577885,105.2,
2004-01-03,,,128.0,128.0,128.0,128.0,116.609520109371,,,109.99599588519,122.5,
2004-01-04,,,120.8,120.8,120.8,120.8,108.768319401274,,,106.885182339441,120.1,
2004-01-05,,,117.2,117.2,117.2,117.2,106.544126699229,,,104.646747859942,116.5,
2004-01-06,,,115.4,115.4,115.4,115.4,103.362612790552,,,98.7487610623164,116.9,
2004-01-07,,,118.0,118.0,118.0,118.0,107.302867651935,,,102.682889215472,116.3,
2004-01-08,,,118.6,118.6,118.6,118.6,107.804813417265,,,105.503538077646,118.8,
2004-01-09,,,116.0,116.0,116.0,116.0,104.425465403752,,,104.538346875583,118.8,
2004-01-10,,,118.4,118.4,118.4,118.4,109.030413143644,,,107.302329042382,120.0,
2004-01-11,,,117.1,117.1,117.1,117.1,107.875222270742,,,107.691379009319,118.4,
2004-01-12,,,118.3,118.3,118.3,118.3,111.05934021985,,,118.328854417738,130.8,
2005-01-01,,,114.4,114.4,114.4,114.4,106.938214854211,,,103.98782984193,112.9,
2005-01-02,,,107.5,107.5,107.5,107.5,102.303100579184,,,101.716128812503,110.7,
2005-01-03,,,131.0,131.0,131.0,131.0,120.010626989077,,,116.143157417149,126.8,
2005-01-04,,,127.3,127.3,127.3,127.3,116.34267167138,,,115.667669558154,128.3,
2005-01-05,,,121.0,121.0,121.0,121.0,109.920932186109,,,107.572913093565,119.3,
2005-01-06,,,121.6,121.6,121.6,121.6,110.629445917396,,,105.408657812584,120.7,
2005-01-07,,,120.7,120.7,120.7,120.7,111.265417605203,,,107.37480054752,118.9,
2005-01-08,,,121.1,121.1,121.1,121.1,110.973535937073,,,112.993560383737,124.5,
2005-01-09,,,119.0,119.0,119.0,119.0,107.163689770041,,,112.922627619225,124.8,
2005-01-10,,,120.3,120.3,120.3,120.3,108.789948041717,,,109.714685759198,125.0,
2005-01-11,,,121.0,121.0,121.0,121.0,111.789235789238,,,114.233904756997,126.9,
2005-01-12,,,125.8,125.8,125.8,125.8,116.443386264469,,,120.530478088345,134.8,
2006-01-01,,,121.6,121.6,121.6,121.6,114.28381082172,,,112.026072461135,120.3,
2006-01-02,,,115.1,115.1,115.1,115.1,107.334567449421,,,106.760056678302,115.9,
2006-01-03,,,139.0,139.0,139.0,139.0,126.933089937802,,,125.401969135365,137.4,
2006-01-04,,,124.2,124.2,124.2,124.2,111.940684400569,,,111.633219597424,125.2,
2006-01-05,,,129.5,129.5,129.5,129.5,119.400073388848,,,115.133855470621,128.1,
2006-01-06,,,121.1,121.1,121.1,121.1,110.849186172296,,,110.333039863175,124.4,
2006-01-07,,,121.8,121.8,121.8,121.8,112.248088640019,,,106.966995952174,122.0,
2006-01-08,,,122.4,122.4,122.4,122.4,111.671131819068,,,112.17922313641,127.2,
2006-01-09,,,113.8,113.8,113.8,113.8,104.568571555534,,,108.163141794765,123.0,
2006-01-10,,,126.7,126.7,126.7,126.7,116.035462694104,,,113.432854973041,130.3,
2006-01-11,,,122.5,122.5,122.5,122.5,113.837982975642,,,116.660095506128,129.9,
2006-01-12,,,122.8,122.8,122.8,122.8,115.353496016755,,,119.598621971059,132.1,
2007-01-01,,,125.7,125.7,125.7,125.7,118.237092777888,,,113.168165028526,123.0,
2007-01-02,,,120.0,120.0,120.0,120.0,111.447824930134,,,114.45993724243,124.1,
2007-01-03,,,143.6,143.6,143.6,143.6,132.022889036537,,,127.821749659323,141.9,
2007-01-04,,,129.2,129.2,129.2,129.2,118.762367848056,,,114.927151866664,128.8,
2007-01-05,,,134.6,134.6,134.6,134.6,122.037664529229,,,121.593533266873,139.3,
2007-01-06,,,127.8,127.8,127.8,127.8,115.678685164139,,,115.874166714896,131.9,
2007-01-07,,,124.2,124.2,124.2,124.2,114.017890432021,,,111.572349550849,126.0,
2007-01-08,,,128.3,128.3,128.3,128.3,116.155957113744,,,116.262359028693,131.3,
2007-01-09,,,117.0,117.0,117.0,117.0,104.319065496627,,,105.811538819416,125.8,
2007-01-10,,,131.1,131.1,131.1,131.1,118.73653889423,,,118.305369364448,136.1,
2007-01-11,,,128.6,128.6,128.6,128.6,117.493559200564,,,116.026425902919,133.5,
2007-01-12,,,127.6,127.6,127.6,127.6,116.373613037609,,,118.706558213525,133.2,
2008-01-01,,,129.9,129.9,129.9,129.9,119.454486292825,,,114.008664713249,127.1,
2008-01-02,,,124.5,124.5,124.5,124.5,115.516011274355,,,113.746727916785,124.0,
2008-01-03,,,141.6,141.6,141.6,141.6,127.653860198091,,,124.109173775534,139.3,
2008-01-04,,,133.4,133.4,133.4,133.4,122.102431502451,,,119.804991476969,134.9,
2008-01-05,,,131.9,131.9,131.9,131.9,118.029189591123,,,114.693062018172,133.5,
2008-01-06,,,131.4,131.4,131.4,131.4,117.235776945518,,,114.386825804039,132.4,
2008-01-07,,,130.3,130.3,130.3,130.3,117.999137298389,,,116.945806109399,133.0,
2008-01-08,,,126.8,126.8,126.8,126.8,112.095864520372,,,111.363610863847,129.1,
2008-01-09,,,123.5,123.5,123.5,123.5,108.817925873126,,,108.327797668686,129.1,
2008-01-10,,,131.0,131.0,131.0,131.0,116.117350245698,,,113.970288195139,131.7,
2008-01-11,,,120.3,120.3,120.3,120.3,106.539584782304,,,104.378807875369,122.8,
2008-01-12,,,122.2,122.2,122.2,122.2,108.429615005389,,,112.68061979405,132.6,
2009-01-01,97.9411017908079,86.2848015786571,116.4,116.4,116.4,116.4,104.675177040438,,,102.551360551478,116.1,
2009-01-02,90.3982293168062,79.6396317485028,112.4,112.4,112.4,112.4,102.010612797468,,,100.28282964241,113.1,
